names,keep,new_names,free_text,description
Start.Date,FALSE,start_date,FALSE,Qualtrics reported date stamp when the participant began the experiment
End.Date,FALSE,end_date,FALSE,Qualtrics reported date stamp when the participant ended the experiment
Response.Type,FALSE,,FALSE,"Qualtrics categorized response type (""IP address"" for a normal response or ""Spam"" for one Qualtrics thinks is not valid) "
Progress,FALSE,,FALSE,Qualtrics reported total progress (%)
Duration..in.seconds.,TRUE,duration,FALSE,Qualtrics-reported time taken in the experiment (seconds)
Finished,FALSE,,FALSE,Qualtrics flag indicating completion of the experiment
Recorded.Date,FALSE,,FALSE,Qualtrics reported date stamp when the response was recorded
Response.ID,TRUE,id,FALSE,participant id
Distribution.Channel,FALSE,,FALSE,"Qualtrics distribution type (all anonymous, as the anonymous link was the only way to access the survey)"
User.Language,FALSE,,FALSE,"Qualtrics reported user language (should be EN, as this was the only language the survey was offered in)"
